Email No.,the,to,ect,and,for,of,a,you,hou,in,on,is,this,enron,i,be,that,will,have,with,your,at,we,s,are,it,by,com,as,from,gas,or,not,me,deal,if,meter,hpl,please,re,e,any,our,corp,can,d,all,has,was,know,need,an,forwarded,new,t,may,up,j,mmbtu,should,do,am,get,out,see,no,there,price,daren,but,been,company,l,these,let,so,would,m,into,xls,farmer,attached,us,information,they,message,day,time,my,one,what,only,http,th,volume,mail,contract,which,month,more,robert,sitara,about,texas,nom,energy,pec,questions,www,deals,volumes,pm,ena,now,their,file,some,email,just,also,call,change,other,here,like,b,flow,net,following
Email 1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Email 2,8,13,24,6,6,2,102,1,27,18,21,13,0,1,61,4,2,0,0,2,0,12,9,95,4,3,3,3,12,3,1,21,1,12,0,1,0,0,2,15,141,0,21,1,1,39,1,0,0,0,0,14,3,0,91,0,2,8,0,0,0,7,2,1,1,5,0,0,3,0,0,0,35,0,0,7,1,46,0,0,3,1,2,0,0,0,2,2,1,3,0,0,0,15,0,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,19,0,0,1
Email 3,0,0,1,0,0,0,8,0,0,4,2,0,0,0,8,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Email 4,0,5,22,0,5,1,51,2,10,1,5,9,2,0,16,2,0,0,1,1,0,2,1,36,3,1,2,0,2,3,0,10,2,5,2,0,1,0,0,10,79,0,0,0,1,21,0,2,0,0,0,3,2,0,49,0,0,5,0,0,1,9,0,0,1,3,0,0,2,0,1,0,27,0,0,1,0,24,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Email 5,7,6,17,1,5,2,57,0,9,3,12,2,2,0,30,8,0,0,2,0,0,7,0,19,2,4,2,0,4,1,2,6,0,6,0,0,3,0,1,10,71,0,0,0,1,11,8,0,1,0,0,9,2,0,63,0,0,3,0,1,0,1,1,0,0,9,3,0,1,0,1,0,34,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,3,0,14,0,0,0
Email 6,4,5,1,4,2,3,45,1,0,16,12,8,1,0,52,2,0,0,0,1,0,5,5,56,2,7,1,1,10,0,0,10,0,5,0,1,0,0,0,20,112,0,2,0,0,37,2,2,0,0,0,8,0,1,55,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,41,0,0,1,0,25,0,0,0,0,2,0,0,0,0,1,1,6,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,13,0,0,0
Email 7,5,3,1,3,2,1,37,0,0,9,4,6,2,0,27,1,0,0,0,0,0,7,1,40,0,0,0,0,11,1,5,2,0,6,1,2,4,1,1,2,56,0,0,0,1,13,0,0,0,0,1,7,0,0,45,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,18,0,1,4,0,12,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0
Email 8,0,2,2,3,1,2,21,6,0,2,6,2,0,0,28,1,0,1,0,0,5,1,0,23,0,1,0,0,2,0,0,5,0,2,0,0,0,0,1,9,34,1,6,0,0,17,0,0,0,0,0,7,0,0,18,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,14,0,0,1,0,7,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Email 9,2,2,3,0,0,1,18,0,0,3,3,2,1,0,15,0,1,0,0,0,0,3,2,6,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,6,38,0,0,0,0,10,1,0,0,1,1,4,0,0,24,0,0,4,0,0,2,0,0,3,0,2,0,0,0,0,0,0,9,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1
Email 10,4,4,35,0,1,0,49,1,16,9,4,1,0,0,35,10,0,2,1,1,0,3,1,37,0,1,1,0,4,2,1,4,2,4,0,2,0,0,1,6,115,0,2,0,0,22,0,0,0,0,0,13,1,0,63,0,1,5,0,0,1,3,0,1,0,5,0,0,0,0,0,0,24,1,0,5,0,29,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,1,0,0,16,0,0,0
Email 11,22,14,2,9,2,2,104,0,2,35,13,21,9,0,96,6,8,2,2,3,0,27,4,76,2,13,0,5,11,3,8,7,3,18,2,4,7,6,0,20,153,0,0,0,1,41,1,1,1,0,5,18,0,0,145,0,1,1,0,2,0,1,0,0,0,11,4,0,0,0,1,0,40,2,0,3,0,41,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,43,2,0,1,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4,0,8,4,0,0
Email 12,33,28,27,11,10,12,173,6,12,28,47,27,7,4,160,11,1,6,1,3,3,18,4,145,3,21,1,3,16,3,0,23,1,25,1,5,0,0,3,18,273,5,8,2,3,51,14,3,0,1,0,40,0,2,236,0,7,8,0,0,3,8,1,0,0,2,1,0,1,2,0,0,100,2,1,5,4,55,0,0,1,0,3,0,0,0,1,2,2,4,0,1,0,61,2,1,3,0,4,0,0,0,0,1,0,0,2,3,0,1,0,1,0,1,0,1,2,1,0,0,1,0,2,1,2,26,0,1,0
Email 13,27,17,3,7,5,8,106,3,0,22,33,16,5,0,102,7,0,6,1,3,2,11,1,91,1,10,1,2,10,3,0,11,1,16,1,3,0,0,2,10,168,3,3,0,0,29,8,2,0,0,0,24,0,1,141,0,4,3,0,0,0,2,1,0,0,1,0,0,0,2,0,0,66,2,0,3,3,34,0,0,0,0,1,0,0,0,1,0,1,3,0,1,0,45,2,1,3,0,4,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,2,1,0,0,1,0,1,0,1,16,0,0,0
Email 14,4,5,7,1,5,1,37,1,3,8,8,6,1,0,43,1,0,1,0,4,0,2,4,46,0,5,1,0,6,0,1,6,0,0,0,0,0,2,0,11,78,0,0,0,0,29,0,0,2,0,0,13,1,0,43,0,1,5,3,0,0,2,0,0,0,4,0,0,0,1,0,0,19,0,0,1,0,20,2,0,0,0,7,0,0,0,2,0,1,0,0,0,0,7,0,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,14,0,1,0
Email 15,2,4,6,0,3,1,16,0,3,6,4,1,0,0,19,1,0,0,0,2,0,0,0,21,0,3,1,0,1,0,1,4,0,0,0,0,0,2,0,9,46,0,0,0,0,15,0,0,0,0,0,7,1,0,26,0,1,5,3,0,0,2,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,15,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,1,0
Email 16,6,2,1,0,2,0,36,3,1,8,4,6,3,1,27,2,1,0,1,0,1,3,0,35,1,1,1,1,5,0,0,5,0,4,0,4,0,0,3,3,57,1,1,0,0,16,1,0,0,0,1,3,0,0,33,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,14,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,16,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2
Email 17,3,1,2,2,0,1,17,0,0,1,1,0,0,0,5,0,1,0,0,0,0,6,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,20,1,0,0,1,2,0,0,0,0,0,5,0,1,16,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
Email 18,36,21,6,14,7,17,194,25,5,59,37,16,5,0,190,17,7,8,2,10,14,31,16,175,6,38,0,7,23,2,0,15,2,20,0,3,0,0,1,38,291,3,18,0,0,79,12,2,0,0,1,32,0,0,236,2,4,4,0,2,2,4,0,2,1,4,0,0,0,0,1,0,112,1,0,7,0,58,2,0,0,0,18,0,0,0,0,0,1,3,5,0,0,62,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,1,1,0,37,0,1,1
Email 19,1,3,1,0,2,0,14,0,0,1,1,5,3,0,13,2,0,0,0,0,0,0,1,15,0,3,1,0,2,0,0,3,0,5,4,0,2,0,1,3,44,0,0,0,0,15,0,1,0,1,3,1,0,1,20,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,1,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Email 20,3,4,11,0,4,2,32,1,5,1,3,9,5,0,25,3,0,1,0,0,0,0,2,28,2,4,2,0,4,0,0,6,0,10,4,0,3,0,3,6,87,0,0,0,0,24,0,1,0,2,3,4,1,1,43,0,1,3,0,0,1,1,0,1,0,6,0,0,2,0,0,0,20,0,2,3,0,16,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Email 21,0,0,1,1,0,0,15,1,0,2,0,1,0,0,7,1,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,1,16,0,0,0,0,3,1,0,0,0,0,4,0,0,8,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Email 22,5,1,13,2,3,1,36,2,5,5,6,5,0,0,27,3,2,1,2,0,0,5,1,18,0,5,0,0,3,0,0,3,2,1,1,1,0,0,1,4,52,0,0,0,0,14,0,1,1,0,0,4,0,1,41,0,0,3,0,0,0,4,0,0,0,3,1,0,0,0,1,0,21,0,0,1,0,9,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,1,0
Email 23,0,3,6,0,5,0,30,0,2,6,17,0,0,13,15,3,0,0,0,0,0,1,0,22,0,1,2,0,6,1,3,7,0,3,0,1,0,4,1,3,58,2,0,1,0,11,3,2,0,1,0,3,2,0,23,0,0,4,2,0,0,3,0,0,0,2,0,0,0,0,0,0,25,0,1,1,0,19,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
Email 24,4,0,1,0,2,1,15,1,0,8,1,2,1,0,13,0,0,0,0,0,1,0,0,14,1,0,0,0,2,0,0,3,0,2,1,0,2,0,0,7,27,2,1,0,0,5,0,0,1,0,1,3,0,0,16,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,8,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
